Date,Open,High,Low,Close,Volume
2016-07-01,17924.240234375,18002.380859375,17916.91015625,17949.369140625,821600
2016-07-05,17904.44921875,17904.44921875,17785.279296875,17840.619140625,1036500
2016-07-06,17807.470703125,17926.91015625,17713.44921875,17918.619140625,930000
2016-07-07,17924.240234375,17984.94921875,17816.650390625,17895.880859375,815700
2016-07-08,17971.220703125,18166.76953125,17971.220703125,18146.740234375,934600
2016-07-11,18161.529296875,18283.900390625,18161.529296875,18226.9296875,808800
2016-07-12,18259.119140625,18371.94921875,18259.119140625,18347.669921875,901700
2016-07-13,18356.779296875,18390.16015625,18315.759765625,18372.119140625,809200
2016-07-14,18414.30078125,18537.5703125,18414.30078125,18506.41015625,870500
2016-07-15,18508.880859375,18557.4296875,18471.619140625,18516.55078125,1236900
2016-07-18,18521.55078125,18556.130859375,18489.83984375,18533.05078125,755400
2016-07-19,18503.119140625,18562.529296875,18495.109375,18559.009765625,858400
2016-07-20,18582.69921875,18622.009765625,18555.650390625,18595.029296875,932300
2016-07-21,18589.9609375,18590.439453125,18469.669921875,18517.23046875,868000
2016-07-22,18524.150390625,18571.30078125,18491.58984375,18570.849609375,877100
2016-07-25,18554.490234375,18555.689453125,18452.619140625,18493.060546875,768100
2016-07-26,18497.369140625,18522.470703125,18387.220703125,18473.75,853700
2016-07-27,18473.26953125,18542.390625,18430.939453125,18472.169921875,1113700
2016-07-28,18461.009765625,18483.259765625,18368.8203125,18456.349609375,857500
2016-07-29,18442.51953125,18466.55078125,18371.119140625,18432.240234375,1115500
2016-08-01,18434.5,18467.029296875,18355.75,18404.509765625,834700
2016-08-02,18401.150390625,18403.650390625,18247.7890625,18313.76953125,896800
2016-08-03,18313.080078125,18355.0,18283.23046875,18355.0,785500
2016-08-04,18351.4296875,18397.869140625,18325.169921875,18352.05078125,645000
2016-08-05,18402.80078125,18543.529296875,18402.80078125,18543.529296875,924200
2016-08-08,18541.890625,18569.310546875,18502.029296875,18529.2890625,718100
2016-08-09,18538.05078125,18585.3203125,18507.75,18533.05078125,600900
2016-08-10,18541.48046875,18561.75,18468.779296875,18495.66015625,627800
2016-08-11,18519.080078125,18638.33984375,18519.080078125,18613.51953125,714700
2016-08-12,18595.650390625,18606.060546875,18535.859375,18576.470703125,615800
2016-08-15,18588.58984375,18722.609375,18559.9296875,18636.05078125,623500
2016-08-16,18614.48046875,18614.859375,18550.650390625,18552.01953125,675700
2016-08-17,18537.08984375,18582.349609375,18468.6796875,18573.939453125,710000
2016-08-18,18566.5390625,18600.8203125,18533.2890625,18597.69921875,707400
2016-08-19,18585.169921875,18585.169921875,18491.240234375,18552.5703125,931700
2016-08-22,18535.859375,18570.919921875,18466.859375,18529.419921875,734500
2016-08-23,18568.939453125,18631.599609375,18545.51953125,18547.30078125,739900
2016-08-24,18537.5,18539.150390625,18448.26953125,18481.48046875,722700
2016-08-25,18471.2109375,18497.6796875,18431.4609375,18448.41015625,644800
2016-08-26,18467.919921875,18572.08984375,18335.33984375,18395.400390625,787300
2016-08-29,18421.2890625,18523.08984375,18419.919921875,18502.990234375,644800
2016-08-30,18491.279296875,18514.2890625,18408.51953125,18454.30078125,689200
2016-08-31,18436.69921875,18439.6796875,18333.560546875,18400.880859375,982500
2016-09-01,18396.5703125,18430.05078125,18295.48046875,18419.30078125,747800
2016-09-02,18466.009765625,18544.759765625,18439.099609375,18491.9609375,743500
2016-09-06,18493.400390625,18551.5390625,18450.3203125,18538.119140625,837100
2016-09-07,18527.7109375,18536.890625,18474.76953125,18526.140625,675700
2016-09-08,18486.689453125,18506.240234375,18446.689453125,18479.91015625,790600
2016-09-09,18404.169921875,18404.169921875,18085.44921875,18085.44921875,1206700
2016-09-12,18028.94921875,18358.689453125,17994.83984375,18325.0703125,1032600
2016-09-13,18262.990234375,18262.990234375,18028.060546875,18066.75,1028300
2016-09-14,18073.390625,18163.48046875,17992.2109375,18034.76953125,1033600
2016-09-15,18024.91015625,18250.109375,18015.490234375,18212.48046875,995500
2016-09-16,18217.2109375,18217.2109375,18070.2109375,18123.80078125,2785100
2016-09-19,18154.8203125,18254.880859375,18093.05078125,18120.169921875,780900
2016-09-20,18175.359375,18227.2109375,18128.80078125,18129.9609375,724500
2016-09-21,18164.9609375,18307.4296875,18121.5703125,18293.69921875,940900
2016-09-22,18343.759765625,18449.880859375,18343.759765625,18392.4609375,730300
2016-09-23,18377.359375,18383.759765625,18254.83984375,18261.44921875,871700
2016-09-26,18217.759765625,18217.759765625,18083.3203125,18094.830078125,955100
2016-09-27,18099.2109375,18238.099609375,18052.16015625,18228.30078125,841300
2016-09-28,18240.220703125,18349.859375,18179.33984375,18339.240234375,976500
2016-09-29,18322.880859375,18366.23046875,18091.640625,18143.44921875,958800
2016-09-30,18181.80078125,18369.619140625,18181.80078125,18308.150390625,1354700
2016-10-03,18279.599609375,18279.80078125,18203.75,18253.849609375,685200
2016-10-04,18267.6796875,18313.76953125,18116.259765625,18168.44921875,797100
2016-10-05,18205.5,18315.8203125,18205.5,18281.029296875,761900
2016-10-06,18280.419921875,18288.119140625,18162.970703125,18268.5,786600
2016-10-07,18295.349609375,18319.73046875,18149.349609375,18240.490234375,826800
2016-10-10,18282.94921875,18399.9609375,18282.94921875,18329.0390625,721100
2016-10-11,18308.4296875,18312.330078125,18061.9609375,18128.66015625,886100
2016-10-12,18132.630859375,18193.9609375,18082.08984375,18144.19921875,722300
2016-10-13,18088.3203125,18137.69921875,17959.94921875,18098.939453125,831600
2016-10-14,18177.349609375,18261.109375,18138.380859375,18138.380859375,870500
2016-10-17,18135.849609375,18162.279296875,18063.01953125,18086.400390625,759600
2016-10-18,18145.060546875,18225.80078125,18129.44921875,18161.939453125,746000
2016-10-19,18178.2109375,18252.19921875,18169.25,18202.619140625,880400
2016-10-20,18161.869140625,18249.05078125,18129.0703125,18162.349609375,888300
2016-10-21,18152.630859375,18168.759765625,18049.76953125,18145.7109375,1178100
2016-10-24,18197.140625,18275.0390625,18191.1796875,18223.029296875,885400
2016-10-25,18206.51953125,18241.689453125,18151.69921875,18169.26953125,831900
2016-10-26,18103.80078125,18236.0390625,18062.30078125,18199.330078125,863400
2016-10-27,18234.810546875,18253.19921875,18149.19921875,18169.6796875,835300
2016-10-28,18193.7890625,18257.060546875,18094.970703125,18161.189453125,1078500
2016-10-31,18176.599609375,18193.6796875,18130.580078125,18142.419921875,1100800
2016-11-01,18158.240234375,18177.009765625,17940.83984375,18037.099609375,1012800
