Date,Open,High,Low,Close,Volume,y
2011-04-12,12381.1904296875,12381.1904296875,12233.0,12263.580078125,137260000,0.0006040583862638477
2011-04-13,12263.650390625,12335.099609375,12224.4501953125,12270.990234375,118950000,0.0011532885428331204
2011-04-14,12270.240234375,12305.580078125,12163.8603515625,12285.150390625,140670000,0.004603064322097655
2011-04-15,12285.4501953125,12369.26953125,12272.580078125,12341.830078125,234710000,-0.01142805371901031
2011-04-18,12339.7099609375,12339.7900390625,12093.8896484375,12201.58984375,190220000,0.005326091651544697
2011-04-19,12201.4404296875,12275.33984375,12200.2998046875,12266.75,149870000,0.015112573018608568
2011-04-20,12266.75,12475.5302734375,12263.580078125,12453.5400390625,203900000,0.004202825289051913
2011-04-21,12453.6201171875,12506.0595703125,12447.5595703125,12505.990234375,166630000,-0.00209001014929761
2011-04-25,12505.990234375,12506.2197265625,12446.0498046875,12479.8798828125,128660000,0.009211557293576287
2011-04-26,12480.8603515625,12613.16015625,12478.1396484375,12595.3701171875,183980000,0.007560630491295414
2011-04-27,12592.23046875,12708.3701171875,12588.330078125,12690.9599609375,160550000,0.005684689094825557
2011-04-28,12689.900390625,12776.1396484375,12674.5400390625,12763.3095703125,148760000,0.0036936576361348266
2011-04-29,12763.4599609375,12832.830078125,12751.1298828125,12810.5400390625,378620000,-0.00024823950970568855
2011-05-02,12810.16015625,12876.0,12784.6201171875,12807.3603515625,150960000,1.1666197159532637e-05
2011-05-03,12806.3798828125,12840.66015625,12749.990234375,12807.509765625,191510000,-0.006574728329226665
2011-05-04,12806.2900390625,12806.6796875,12673.01953125,12723.580078125,193720000,-0.011017302319796779
2011-05-05,12723.650390625,12724.5595703125,12521.2802734375,12584.169921875,176950000,0.004327050075260968
2011-05-06,12580.759765625,12759.23046875,12579.9296875,12638.740234375,168320000,0.0036282227015383534
2011-05-09,12637.830078125,12722.0703125,12620.2001953125,12684.6796875,133940000,0.005948576784560937
2011-05-10,12685.1298828125,12781.0595703125,12681.650390625,12760.3603515625,156000000,-0.010266184929665734
2011-05-11,12745.8701171875,12748.2099609375,12577.2099609375,12630.0302734375,200680000,0.0052033425471953556
2011-05-12,12629.9599609375,12718.580078125,12537.169921875,12695.919921875,216510000,-0.007921220382320925
2011-05-13,12695.650390625,12714.5,12543.1904296875,12595.75,169940000,-0.003768669467787395
2011-05-16,12594.76953125,12642.900390625,12530.8095703125,12548.3701171875,192310000,-0.005497071214316788
2011-05-17,12541.330078125,12541.330078125,12378.83984375,12479.580078125,192830000,0.0064377524782847475
2011-05-18,12471.7802734375,12571.150390625,12443.099609375,12560.1796875,175120000,0.003587504592717995
2011-05-19,12561.4599609375,12633.58984375,12533.4599609375,12605.3203125,158470000,-0.0074275880092695345
2011-05-20,12604.7197265625,12604.830078125,12485.8603515625,12512.0400390625,174980000,-0.01050736364331224
